config_id,buffer_pool_size,cache_size,log_file_size,thread_concurrency,query_cache_size,metric_pages_read,metric_pages_written,metric_cache_hits,metric_cache_misses,metric_lock_wait_time,performance_latency_99th_percentile
1,2048,5809,256,8,1593,40526,25095,15781,2809,0.434055966,298.9773594
2,2048,7201,64,16,710,40807,24795,15833,4332,1.021581239,242.0513503
3,1024,4761,128,8,1516,40030,24948,15552,1114,0.729563921,310.5293835
4,2048,6443,256,4,243,40488,25037,15969,2514,0.1,379.9969677
5,4096,1938,256,4,913,40853,24984,15093,4840,1.292711813,380.9305891
6,16384,8019,128,1,1850,44059,24867,16041,4248,0.127011851,630.755741
7,2048,4824,256,4,1580,40020,24783,15625,1351,0.130860252,375.4956189
8,1024,1316,128,2,1794,40454,24917,15008,1866,1.723258473,532.6361201
9,1024,5651,128,4,6,40510,25207,15682,2258,0.53254356,392.7436213
10,4096,7008,256,16,718,40884,25046,15747,4681,1.436156369,255.7635015
11,8192,1298,64,2,1812,42208,25206,15173,3448,0.274572701,485.1755795
12,4096,3684,128,32,1092,40932,24703,15391,2574,1.884783131,215.3130749
13,2048,7534,256,16,1453,40492,24715,15992,1956,0.687398322,243.6827831
14,2048,6400,256,8,150,40576,24758,15835,4199,1.012254867,310.1122376
15,8192,689,128,8,1387,41768,24691,14936,4211,1.018159197,297.147332
16,4096,7195,256,64,1889,41004,24776,16016,1326,1.79241182,180.4786225
17,2048,3068,128,1,728,40598,25113,15561,2461,1.484350014,672.0214348
18,2048,5370,128,8,229,40366,24926,15499,3267,0.491647768,300.0017273
19,4096,1846,128,16,1606,41043,24811,15273,1597,1.212265439,247.1046962
20,8192,1147,128,16,275,41936,25059,15161,4160,0.1,218.3298227
21,2048,3036,256,16,933,40496,24627,15434,1795,1.236254713,256.3870716
22,1024,2598,128,8,6,40512,24886,15354,981,0.615821158,312.7902393
23,8192,7957,512,64,36,42276,24589,15948,2880,0.898468701,160.7155723
24,8192,2771,64,8,243,41854,24870,15182,4201,1.172108528,300.6652092
25,8192,6735,64,8,1970,42461,25169,15879,1202,1.057812954,295.1505905
26,4096,2747,256,32,1199,40851,25036,15184,4753,0.888836113,197.7417982
27,8192,1668,512,8,719,42145,24528,15128,4508,0.835884708,286.780467
28,2048,4890,64,16,623,40631,25106,15579,2960,0.283815644,237.9495802
29,4096,5541,128,8,1434,40752,24840,15755,1798,1.295926735,306.2470708
30,2048,653,64,8,1547,40775,24897,15106,4370,0.432914858,291.9380073
31,8192,5999,128,64,1610,41956,24856,15681,1093,0.255264011,161.9390499
32,4096,6280,256,8,1206,40883,24737,15739,829,1.372359314,305.3395184
33,4096,1079,256,1,1507,40894,24701,14966,1687,0.213888553,650.7605741
34,4096,4321,128,32,1184,40897,25001,15545,4654,0.536339783,191.7178129
35,4096,8110,128,4,1737,41242,25239,16067,2366,0.859594798,379.2797549
36,8192,3029,64,8,2009,42018,24865,15560,1094,1.787793904,310.7114106
37,2048,4078,128,16,1095,40600,25095,15543,3657,0.670492512,244.7904231
38,16384,3065,256,8,429,43747,24843,15332,4948,0.912434346,289.439218
